127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/css/myapp.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/ractive.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/dist/css/bootstrap.min.css, HTTP/1.1, 404, 0.200000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/default/show_posts/dashboard.css, HTTP/1.1, 500, 0.257000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/assets/js/ie-emulation-modes-warning.js, HTTP/1.1, 404, 0.238000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.293000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/assets/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 404, 0.328000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-30 14:06:40, GET, /HiddenSC/static/images/facebook.png, HTTP/1.1, 304, 0.001000
